protein_id	pep_num	F163	F164	F165	F166	F167	F168	F169
Pp1s30_253V6.1	1	311545	276778	224487	199472	208330	178738	197177
Pp1s30_345V6.1	1	84316	110069	104999	190287	210207	156181	183463
Pp1s30_39V6.1	3	9035694	8607391	8680569	4657679	4531482	4132590	5054449
Pp1s315_42V6.1	3	337535	297118	307657	220162	239069	205493	225207
Pp1s317_25V6.1	3	387372	474596	350787	372575	426449	411177	301185
Pp1s317_51V6.1	1	191458	220199	229032	109835	123779	94668	108114
Pp1s318_21V6.1	1	20724	19772	14772	13724	12122	13743	10527
Pp1s319_36V6.1	1	129625	212926	66106	54468	39692	32273	14228
Pp1s319_46V6.1	3	1785059	1677134	1844455	1408457	1229771	1154930	1500811
Pp1s31_124V6.1	1	18053	20159	11757	16497	19272	21426	14128
Pp1s31_128V6.1	2	136369	150659	149121	356349	403097	205688	254185
Pp1s31_253V6.1	1	29890	29641	19242	9583	7507	5692	6890
Pp1s323_86V6.1	1	174255	161644	148747	184028	167985	135481	200223
Pp1s326_65V6.1	1	68873	103689	80200	67614	81445	69587	49294
Pp1s32_313V6.1	3	1267184	1352992	1028738	1249368	1001630	922354	947599
Pp1s330_37V6.1	2	1011093	2020699	2317817	975114	1107198	1081344	1220064
Pp1s331_37V6.1	2	312875	327274	305199	326229	314190	385985	409301
Pp1s332_33V6.1	2	127159	144943	167405	186310	239314	244601	152807
Pp1s334_17V6.1	1	2529712	2800153	2723303	1192393	903863	655913	974003
Pp1s336_22V6.1	2	2224762	2317421	2361865	921423	950193	552954	472474
Pp1s336_44V6.1	3	994023	1036159	966127	771036	775574	814640	856118
Pp1s339_13V6.1	1	174808	158884	139131	175519	158790	108420	168053
Pp1s339_66V6.1	1	138367	227190	311821	85132	70341	75406	53170
Pp1s33_144V6.1	1	30532	25802	21809	24742	22746	33842	42010
Pp1s33_172V6.1	3	690310	701404	744549	634194	576062	473606	693998
Pp1s33_280V6.1	1	83272	86093	104501	104010	114268	100488	115407
Pp1s33_287V6.1	3	157099	201261	172675	85494	86315	74977	74058
Pp1s33_311V6.1	1	86437	117560	103591	143216	152810	114474	90485
Pp1s33_47V6.1	1	18786	16822	15449	7586	8039	11672	11142
Pp1s33_7V6.1	2	3237989	3178327	3262208	3036224	3150639	3725499	2818178
Pp1s341_38V6.1	2	163048	135383	163951	139795	146421	124690	142242
Pp1s341_42V6.1	1	228939	244813	219203	226714	221314	222241	181774
Pp1s342_34V6.1	1	24951	25639	33401	13243	14387	11866	14854
Pp1s343_21V6.1	3	879351	964089	1125109	1091839	1124354	957690	1065909
Pp1s343_26V6.1	3	897681	1064414	1016993	412744	455821	387210	350800
Pp1s347_12V6.1	1	297798	375695	299680	289820	303574	177267	178364
Pp1s347_25V6.1	1	166792	173529	208468	81136	83149	80528	80373
Pp1s347_30V6.1	2	373564	424577	414466	176107	202619	144845	144996
Pp1s34_178V6.1	1	1051928	1072262	969323	1240966	1221856	1004643	1204192
Pp1s351_30V6.1	3	1957908	2242181	1786874	1009952	1027113	1172167	1147926
Pp1s352_4V6.1	3	636215	582601	691864	680689	858117	782963	769984
Pp1s352_68V6.1	3	772096	692733	881249	588088	644038	487176	534364
Pp1s354_15V6.1	1	111015	103742	100781	98337	100924	141430	123521
Pp1s358_49V6.1	1	245739	265374	482194	294153	277483	178931	247243
Pp1s359_40V6.1	2	115749	119322	100811	101344	105706	89176	99478
Pp1s35_234V6.1	3	1041672	1807593	1404098	414834	502656	506371	551393
Pp1s35_78V6.1	3	11528161	10612253	9417781	5691914	4372315	4827964	6075753
Pp1s35_94V6.1	2	721753	500595	815341	465523	450002	347920	445983
Pp1s363_23V6.1	3	203110	255514	179914	212540	197944	190858	133461
Pp1s367_8V6.1	1	54586	54959	72692	79432	71354	56047	70099
Pp1s369_27V6.1	3	206818	215860	208000	129527	122415	132526	138186
Pp1s36_3V6.1	3	451041	486079	587155	352878	351355	249610	336569
Pp1s372_16V6.1	2	975434	723725	879205	396880	434664	297061	451663
Pp1s372_19V6.1	2	576290	536427	483572	687585	759960	878587	842828
Pp1s372_25V6.1	3	1054961	1052578	988667	616498	503893	466634	553887
Pp1s373_37V6.1	3	1548801	1519528	1751980	899917	813965	584158	747081
Pp1s378_41V6.1	1	185829	163716	129854	217396	106470	72797	144312
Pp1s379_40V6.1	2	701458	909049	950333	715651	661651	491942	579846
Pp1s37_111V6.2	2	359647	450832	423974	374038	402560	208860	194511
Pp1s37_298V6.1	1	34328	50195	29818	62487	41254	25204	13178
Pp1s37_309V6.1	3	285016	329862	366396	305583	335592	243175	274100
Pp1s37_33V6.2	1	70415	60041	67961	90997	78181	32161	59252
Pp1s37_50V6.1	2	85991	97302	116166	122424	131088	112392	67056
Pp1s382_41V6.1	3	372249	387560	271024	370657	358407	264998	359412
Pp1s386_21V6.1	3	237025	276272	284991	286918	274788	271825	316049
Pp1s38_198V6.1	1	69011	72808	55073	81603	78259	67614	71432
Pp1s38_300V6.1	2	381228	385310	404593	928112	961485	748012	637975
Pp1s396_19V6.1	1	217258	278990	290973	136326	176563	134043	121856
Pp1s39_367V6.1	1	705079	824788	880145	339790	365248	431813	384372
