Gene	pd_id
Pp1s104_186V6.1	PHYPADRAFT_82607
Pp1s104_187V6.1	PHYPADRAFT_82608
Pp1s104_188V6.1	PHYPADRAFT_82609
Pp1s104_188V6.2	PHYPADRAFT_82609
Pp1s104_192V6.1	PHYPADRAFT_82613
Pp1s104_193V6.1	PHYPADRAFT_82613
Pp1s104_194V6.1	PHYPADRAFT_82614
Pp1s104_200V6.1	PHYPADRAFT_82616
Pp1s104_203V6.1	PHYPADRAFT_166195
Pp1s104_205V6.1	PHYPADRAFT_166195
Pp1s104_208V6.1	PHYPADRAFT_133516
Pp1s104_210V6.1	PHYPADRAFT_166197
Pp1s104_211V6.1	PHYPADRAFT_133519
Pp1s104_212V6.1	PHYPADRAFT_62926
Pp1s104_212V6.2	PHYPADRAFT_62926
Pp1s104_213V6.1	PHYPADRAFT_166200
Pp1s104_214V6.1	PHYPADRAFT_166201
Pp1s104_215V6.1	PHYPADRAFT_133521
Pp1s104_216V6.1	PHYPADRAFT_82626
Pp1s104_218V6.1	PHYPADRAFT_82628
Pp1s104_220V6.1	PHYPADRAFT_187407
Pp1s104_25V6.1	PHYPADRAFT_82520
Pp1s104_25V6.2	PHYPADRAFT_82520
Pp1s104_27V6.1	PHYPADRAFT_133577
Pp1s104_28V6.1	PHYPADRAFT_82523
Pp1s104_29V6.1	PHYPADRAFT_187336
Pp1s104_2V6.1	PHYPADRAFT_187320
Pp1s104_30V6.1	PHYPADRAFT_214679
Pp1s104_31V6.1	PHYPADRAFT_133517
Pp1s104_33V6.1	PHYPADRAFT_166162
Pp1s104_33V6.2	PHYPADRAFT_166162
Pp1s104_33V6.3	PHYPADRAFT_166162
Pp1s104_35V6.1	PHYPADRAFT_82528
Pp1s104_39V6.1	PHYPADRAFT_82528
Pp1s104_43V6.1	PHYPADRAFT_82529
Pp1s104_50V6.1	PHYPADRAFT_82531
Pp1s104_54V6.1	PHYPADRAFT_16651
Pp1s104_54V6.2	PHYPADRAFT_16651
Pp1s104_56V6.1	PHYPADRAFT_82534
Pp1s104_58V6.1	PHYPADRAFT_39104
Pp1s104_58V6.2	PHYPADRAFT_39104
Pp1s104_62V6.1	PHYPADRAFT_187346
Pp1s104_62V6.2	PHYPADRAFT_187346
Pp1s104_63V6.1	PHYPADRAFT_133581
Pp1s104_66V6.1	PHYPADRAFT_82540
Pp1s104_67V6.1	PHYPADRAFT_82540
Pp1s104_69V6.1	PHYPADRAFT_166166
Pp1s104_69V6.2	PHYPADRAFT_166166
Pp1s104_69V6.3	PHYPADRAFT_166166
Pp1s104_69V6.4	PHYPADRAFT_166166
Pp1s104_70V6.1	PHYPADRAFT_133593
Pp1s104_70V6.2	PHYPADRAFT_133593
Pp1s104_73V6.1	PHYPADRAFT_106872
Pp1s104_74V6.1	PHYPADRAFT_187352
Pp1s104_75V6.1	PHYPADRAFT_187356
Pp1s104_76V6.1	PHYPADRAFT_82546
Pp1s104_78V6.1	PHYPADRAFT_82547
Pp1s104_80V6.1	PHYPADRAFT_166169
Pp1s104_86V6.1	PHYPADRAFT_82551
Pp1s104_87V6.1	PHYPADRAFT_82552
Pp1s104_88V6.1	PHYPADRAFT_166170
Pp1s104_88V6.2	PHYPADRAFT_166170
Pp1s104_88V6.3	PHYPADRAFT_166170
Pp1s104_88V6.4	PHYPADRAFT_166170
