Gene	PN	PP	Total
Pp1s404_28V6.1	22	41	63
Pp1s66_233V6.1	31	32	63
sp|Q6YXQ8|NDHJ_PHYPA	48	15	63
Pp1s11_397V6.1	31	31	62
Pp1s20_291V6.1	61	1	62
Pp1s282_30V6.1	34	28	62
Pp1s3_96V6.2	16	46	62
Pp1s13_438V6.1	24	37	61
Pp1s15_126V6.1	31	30	61
Pp1s215_28V6.1	18	43	61
Pp1s6_56V6.1	31	30	61
Pp1s85_96V6.2	21	40	61
sp|Q6YXL0|RK14_PHYPA	17	44	61
Pp1s173_105V6.1	38	22	60
Pp1s189_34V6.1	35	25	60
Pp1s20_14V6.1	44	16	60
Pp1s223_31V6.1	21	39	60
Pp1s247_7V6.1	49	11	60
Pp1s3_343V6.1	20	40	60
Pp1s72_285V6.1	18	42	60
Pp1s93_26V6.1	39	21	60
Pp1s223_97V6.1	24	35	59
Pp1s269_70V6.1	24	35	59
Pp1s47_214V6.1	29	30	59
Pp1s59_217V6.1	30	29	59
Pp1s73_31V6.1	22	37	59
Pp1s147_10V6.1	58		58
Pp1s185_119V6.1	24	34	58
Pp1s3_177V6.1	22	36	58
Pp1s312_10V6.1	39	19	58
Pp1s120_21V6.1	19	38	57
Pp1s181_117V6.1	20	37	57
Pp1s215_83V6.2	33	24	57
Pp1s241_66V6.1	46	11	57
Pp1s249_62V6.1	45	12	57
Pp1s6_239V6.1	30	27	57
Pp1s91_247V6.1	25	32	57
sp|Q6YXQ7|CHLL_PHYPA	19	38	57
Pp1s146_88V6.1	49	7	56
Pp1s158_108V6.1	27	29	56
Pp1s307_19V6.1	26	30	56
Pp1s378_8V6.1	26	30	56
sp|Q6YXR4|YCF4_PHYPA	42	14	56
Pp1s12_215V6.1	21	34	55
Pp1s12_316V6.1	24	31	55
Pp1s21_393V6.1	19	36	55
Pp1s251_36V6.2	28	27	55
Pp1s269_46V6.1	26	29	55
Pp1s34_308V6.2	55		55
Pp1s75_233V6.1	36	19	55
Pp1s103_66V6.1	27	27	54
Pp1s148_48V6.1	16	38	54
Pp1s15_445V6.1	41	13	54
Pp1s209_94V6.1	45	9	54
Pp1s21_177V6.1	26	28	54
Pp1s30_253V6.1	19	35	54
Pp1s341_38V6.1	27	27	54
Pp1s49_42V6.1	37	17	54
Pp1s5_404V6.1	43	11	54
sp|P61243|YCF2_PHYPA	54		54
Pp1s101_174V6.1	14	39	53
Pp1s21_139V6.1	34	19	53
Pp1s31_128V6.1	18	35	53
Pp1s31_279V6.1	35	18	53
Pp1s326_65V6.1	23	30	53
Pp1s37_67V6.1	19	34	53
Pp1s52_45V6.1	23	30	53
Pp1s130_287V6.1	19	33	52
Pp1s268_67V6.1	17	35	52
Pp1s39_256V6.1	12	40	52
Pp1s460_1V6.1	27	25	52
Pp1s74_255V6.1	21	31	52
Pp1s81_260V6.1	27	25	52
Pp1s100_107V6.1	32	19	51
Pp1s186_83V6.1	30	21	51
Pp1s237_52V6.1	20	31	51
Pp1s281_101V6.1	26	25	51
Pp1s31_50V6.1	30	21	51
Pp1s33_287V6.1	37	14	51
Pp1s475_12V6.1	36	15	51
Pp1s49_191V6.1	16	35	51
Pp1s74_135V6.1	24	27	51
Pp1s77_2V6.1	44	7	51
Pp1s88_187V6.1	24	27	51
Pp1s9_115V6.1	31	20	51
Pp1s91_80V6.1	34	17	51
Pp1s1_532V6.1	31	19	50
Pp1s15_181V6.1	16	34	50
Pp1s197_56V6.2	20	30	50
Pp1s211_10V6.1	39	11	50
Pp1s219_94V6.2	17	33	50
Pp1s25_8V6.1	23	27	50
Pp1s319_36V6.1	34	16	50
Pp1s358_49V6.1	24	26	50
Pp1s11_89V6.1	39	10	49
Pp1s159_2V6.1	29	20	49
Pp1s241_27V6.1	15	34	49
Pp1s26_285V6.2	18	31	49
Pp1s303_55V6.1	22	27	49
Pp1s311_70V6.1	16	33	49
Pp1s445_15V6.1	44	5	49
Pp1s71_244V6.1	18	31	49
Pp1s95_32V6.1	19	30	49
Pp1s1_534V6.1	35	13	48
Pp1s127_105V6.1	23	25	48
Pp1s156_57V6.1	30	18	48
Pp1s17_355V6.1	48		48
Pp1s207_106V6.1	48		48
Pp1s225_24V6.1	27	21	48
Pp1s25_170V6.1	18	30	48
Pp1s291_38V6.1	21	27	48
Pp1s291_44V6.1	26	22	48
Pp1s38_333V6.1	38	10	48
Pp1s4_80V6.1	15	33	48
Pp1s49_55V6.1	48		48
Pp1s9_238V6.1	40	8	48
Pp1s98_142V6.1	18	30	48
sp|Q6YXQ9|NDHK_PHYPA	29	19	48
Pp1s109_90V6.1	34	13	47
Pp1s135_25V6.1	14	33	47
Pp1s15_270V6.1	21	26	47
Pp1s233_40V6.1	16	31	47
Pp1s251_13V6.1	16	31	47
Pp1s28_231V6.1	21	26	47
Pp1s59_328V6.1	29	18	47
Pp1s145_159V6.1	31	15	46
Pp1s188_39V6.1	21	25	46
Pp1s191_98V6.1	35	11	46
Pp1s194_198V6.1	15	31	46
Pp1s217_1V6.1	16	30	46
Pp1s345_40V6.1	18	28	46
Pp1s53_232V6.1	18	28	46
Pp1s7_405V6.1	32	14	46
Pp1s83_144V6.1	46		46
Pp1s106_46V6.1	17	28	45
Pp1s245_58V6.2	33	12	45
Pp1s27_266V6.1	29	16	45
Pp1s284_6V6.1	22	23	45
Pp1s308_11V6.1	45		45
Pp1s39_367V6.1	29	16	45
Pp1s42_193V6.1	19	26	45
Pp1s434_27V6.1	45		45
Pp1s49_243V6.1	25	20	45
Pp1s5_248V6.1	22	23	45
Pp1s93_131V6.1	8	37	45
Pp1s99_59V6.1	14	31	45
Pp1s1_515V6.1	18	26	44
Pp1s114_78V6.1	32	12	44
Pp1s158_40V6.1	44		44
Pp1s17_43V6.1	19	25	44
Pp1s199_127V6.1	23	21	44
Pp1s201_15V6.1	25	19	44
Pp1s237_14V6.1	43	1	44
Pp1s260_24V6.1	19	25	44
Pp1s281_28V6.1	30	14	44
Pp1s299_3V6.1	17	27	44
Pp1s121_53V6.1	36	7	43
Pp1s145_27V6.1	13	30	43
Pp1s163_57V6.1	41	2	43
Pp1s2_195V6.1	22	21	43
Pp1s23_102V6.1	23	20	43
Pp1s25_204V6.1	35	8	43
Pp1s28_126V6.1	15	28	43
Pp1s90_220V6.1	13	30	43
Pp1s116_33V6.1	15	27	42
Pp1s12_121V6.1	38	4	42
Pp1s126_38V6.1	35	7	42
Pp1s170_67V6.1	22	20	42
Pp1s2_442V6.1	42		42
Pp1s281_87V6.1	23	19	42
Pp1s36_137V6.1	13	29	42
Pp1s53_123V6.1	14	28	42
Pp1s545_4V6.1	11	31	42
Pp1s61_113V6.1	39	3	42
Pp1s68_116V6.1	42		42
Pp1s69_13V6.1	24	18	42
Pp1s78_3V6.1	20	22	42
Pp1s81_51V6.1	20	22	42
Pp1s13_40V6.1	41		41
Pp1s145_172V6.1	41		41
Pp1s234_66V6.1	21	20	41
Pp1s24_254V6.1	14	27	41
Pp1s246_119V6.1	41		41
Pp1s378_41V6.1	15	26	41
Pp1s38_196V6.1	41		41
Pp1s402_16V6.1	17	24	41
Pp1s414_8V6.1	20	21	41
Pp1s457_19V6.1	14	27	41
Pp1s75_253V6.1	18	23	41
Pp1s83_117V6.1	14	27	41
Pp1s161_125V6.1	11	29	40
Pp1s162_74V6.1	24	16	40
Pp1s20_273V6.1	17	23	40
Pp1s23_111V6.1	23	17	40
Pp1s51_241V6.1	17	23	40
Pp1s63_52V6.2	17	23	40
Pp1s67_7V6.1	23	17	40
Pp1s77_24V6.1	36	4	40
Pp1s1_629V6.1	11	28	39
Pp1s10_102V6.1	39		39
Pp1s118_219V6.1	16	23	39
Pp1s15_70V6.1	33	6	39
Pp1s192_99V6.1	20	19	39
Pp1s201_41V6.1	39		39
Pp1s206_35V6.1	28	11	39
Pp1s259_76V6.1	21	18	39
Pp1s260_4V6.1	11	28	39
Pp1s307_65V6.1	9	30	39
Pp1s33_144V6.1	10	29	39
Pp1s424_22V6.1	22	17	39
Pp1s56_223V6.1	10	29	39
Pp1s67_100V6.1	9	30	39
Pp1s115_168V6.1	12	26	38
Pp1s129_152V6.1	15	23	38
Pp1s158_129V6.1	15	23	38
Pp1s192_6V6.1	15	23	38
Pp1s2_153V6.1	23	15	38
Pp1s212_85V6.1	20	18	38
Pp1s214_32V6.1	3	35	38
Pp1s241_32V6.1	13	25	38
Pp1s294_50V6.1	16	22	38
